Japanese,English
Eyeとeyeが合ったの,
気のせいじゃないよね,
愛と愛がすれ違ったの,
気づけばよかった,
何気ないあなたの仕草に,
今日もわたし,
何気なく 心奪われていった,
ゆらゆら,
もう嫌いだよ、嫌いだよ,
あなたなんて,
求めては、求められない,
Be by your side 会いたいわ あなたに,
それだけが言えなかった,
I wanna say あなたのせいで鼓動が,
今日も高まってるの,
Shes by your side わたしじゃないのは,
最初からわかてった,
I say グッバイ バイバイ わたしの,
曖昧な片思い,
あの時、みていたのはきっと,
わたしじゃなくてさ,
わたしの背中越しにいた,
あの人だったでしょ,
何気ないあなたのしぐさ,
言葉に今日もわたし,
何気なく、心すり減っていった,
ギザギザ,
触れてこないでよ,
優しくしないでよ,
あなたのこの手を振り払えるほど,
私は 強くないの 好きだから,
Be by your side 会いたいわ あなたに,
それだけが言えなかった,
I wanna say あなたのせいで鼓動が,
今日もなりつずけるの,
Shes by your side わたしじゃないのは,
最初からわかてった,
I say グッバイ バイバイ わたしの,
曖昧な片思い,
Shes by your side あなたのことを,
好きなのは私なのに,
I say グッバイ バイバイ わたしの,
曖昧な片思い,
グッバイバイ,